Model,Type,Expression,Cumulative probability,Value
CAT_785,Between failures,CONT,"['0', '0.0024', '0.15', '0.3', '0.45', '0.58', '0.66', '0.72', '0.79', '0.84', '0.9', '0.93', '0.94', '0.96', '1']","['0.001', '10.7667', '143.9', '307.8', '475.7', '671.1', '852.5', '1033.5', '1207.3', '1389.5', '1581.2', '1716', '1942.2', '2090.6', '2266.8']"
CAT_775,Between failures,CONT,"['0', '0.003', '0.15', '0.3', '0.41', '0.52', '0.62', '0.71', '0.79', '0.85', '0.89', '0.92', '0.94', '0.96', '1']","['0.001', '6.9167', '158', '354.3', '558.5', '778.4', '984.1', '1201.6', '1401.3', '1624.6', '1835.8', '2007.2', '2195.6', '2417.6', '2574.2']"
CAT_785,Duration,CONT,"['0', '0.0026', '0.15', '0.3', '0.45', '0.61', '0.66', '0.74', '0.8', '0.84', '0.87', '0.91', '0.93', '0.95', '0.96', '1']","['0.001', '0.5667', '13.5', '27', '45.4', '66.8', '90.8', '115', '135.2', '164.9', '189.2', '213.4', '237.8', '262.9', '286.4', '304']"
CAT_775,Duration,CONT,"['0', '0.0032', '0.15', '0.3', '0.46', '0.59', '0.65', '0.73', '0.79', '0.83', '0.87', '0.89', '0.92', '0.95', '0.96', '1']","['0.001', '0.5167', '14.4', '27.1', '48.3', '72.2', '98.2', '121.8', '147.5', '171.5', '197.9', '214.7', '245.4', '270.8', '291.2', '301']"
RH_170,Between failures,CONT,"['0', '0.025', '0.15', '0.3', '0.42', '0.55', '0.62', '0.68', '0.75', '1']","['0.001', '12.7833', '60.4', '201.2', '424.1', '937.9', '1269.1', '1569.8', '2402.2', '3473.5']"
CAT_7295,Between failures,CONT,"['0', '0.0556', '0.17', '0.22', '0.33', '0.39', '0.44', '0.5', '1']","['0.001', '148.2833', '250', '1390.2', '2130', '2443.7', '2835', '3325.7', '3375.4']"
L1350_1,Between failures,CONT,"['0', '0.025', '0.15', '0.3', '0.42', '0.55', '0.62', '0.68', '0.75', '1']","['0.001', '12.7833', '60.4', '201.2', '424.1', '937.9', '1269.1', '1569.8', '2402.2', '3473.5']"
L1350_2,Between failures,CONT,"['0', '0.025', '0.15', '0.3', '0.42', '0.55', '0.62', '0.68', '0.75', '1']","['0.001', '12.7833', '60.4', '201.2', '424.1', '937.9', '1269.1', '1569.8', '2402.2', '3473.5']"
CAT_390_1,Between failures,CONT,"['0', '0.0114', '0.16', '0.32', '0.47', '0.53', '0.67', '0.78', '0.84', '0.88', '0.9', '1']","['0.001', '8.1833', '290.5', '599.6', '880.6', '1204.6', '1534.6', '1873', '2159.6', '2535.1', '2787', '3373.5']"
RH_170,Duration,CONT,"['0', '0.0769', '0.15', '0.31', '0.38', '1']","['0.001', '3.5333', '9.8', '42.8', '77.7', '280.3']"
CAT_7295,Duration,CONT,"['0', '0.0556', '0.17', '0.33', '0.5', '1']","['0.001', '4.5333', '15.4', '75.6', '148.2', '639.9']"
L1350_1,Duration,CONT,"['0', '0.011', '0.15', '0.31', '0.46', '0.55', '0.6', '0.65', '0.71', '0.77', '0.81', '0.84', '0.86', '1']","['0.001', '0.45', '5.3', '12.7', '28.4', '43.8', '65.1', '79.9', '101.7', '120.1', '134.1', '152.4', '172.3', '192.5']"
L1350_2,Duration,CONT,"['0', '0.011', '0.15', '0.31', '0.46', '0.55', '0.6', '0.65', '0.71', '0.77', '0.81', '0.84', '0.86', '1']","['0.001', '0.45', '5.3', '12.7', '28.4', '43.8', '65.1', '79.9', '101.7', '120.1', '134.1', '152.4', '172.3', '192.5']"
CAT_390_1,Duration,CONT,"['0', '0.0106', '0.16', '0.32', '0.41', '0.51', '0.62', '0.68', '0.74', '0.78', '0.82', '0.84', '0.87', '1']","['0.001', '2.0833', '11.1', '33', '77.9', '128.9', '169.3', '218', '273.7', '283.8', '363', '416.8', '456.8', '506.5']"
